"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"g776",140.810605671222,0.784605023844363,0.76121568968483,1.03072629016517,0.302669192503384,0.44649267695615
"g777",6929.54727727133,0.680529651563368,0.481607404134649,1.41303818363453,0.157644497296163,0.280628487954403
"g829",45.8172228163914,2.35609760547237,0.721801056802437,3.26419251297557,0.00109776547559698,0.00619717146162697
"g831",2242.82988528041,-1.04355282116534,0.426070237339602,-2.44925068618105,0.0143153775803706,0.0460764785102713
"g832",1607.58613056966,0.740743821393257,0.455610204191332,1.62582798756233,0.103986252763464,0.205222433302251
"g833",4379.75156203586,-0.700044247091512,0.468892040250261,-1.49297532693854,0.135443645514168,0.24933123923867
"g835",851.337706844214,0.957297991653271,0.308748091475236,3.10057946295047,0.00193142382385868,0.00976824213381675
"g836",9.59470229797023,0.629051887225631,1.21762756161439,0.516620933244645,0.605420799889475,0.725718699088293
"g837",9.34249261379565,-1.13440290226358,1.49620400206339,-0.758187319843514,0.448338851131292,0.587390716244404
"g838",6.53951449950241,3.20275983536672,1.59042705382116,2.01377348786401,0.0440333204434998,0.10570287326229
"g839",668.488205512784,-0.598216276891623,0.386156864426678,-1.54915354872633,0.121344812856352,0.229510783332813
"g840",1792.59692716527,-1.00878116468503,0.543398478320205,-1.85642986672221,0.0633923109295979,0.139478195442238
"g841",51.8868637544364,-1.22626315400862,0.699348808030548,-1.75343568177649,0.079527250715075,0.167588247511448
"g842",1769.37279891479,0.377934404457858,0.282825245998697,1.33628242105232,0.181456980052125,0.307852410908439
"g843",798.451420896606,-1.11306038204758,0.344928012491191,-3.22693530748249,0.00125123746087223,0.00685395950376893
"g844",448.850658417219,-1.90491905029614,0.419210493212936,-4.54406337898737,5.51800547865707e-06,8.08431596317536e-05
"g845",26.7578679471248,1.12591368904105,0.69613604650815,1.61737593490336,0.105797157124806,0.207327747031339
"g846",1144.28902465723,-0.807892658257671,0.412935242206205,-1.95646332810276,0.0504105983623832,0.117349261761613
"g847",2602.98697005251,1.08293850008753,0.337295082418213,3.21065605915,0.00132432337449857,0.00719029690977755
"g848",235.185172389422,1.15152965875004,0.409815971294569,2.80987013539874,0.0049561493702866,0.0204676772652104
"g849",2064.80970187914,-1.11955448370873,0.414788994470545,-2.69909399389388,0.00695285357926708,0.0268513968772532
"g850",1798.26505233391,-0.604433517389538,0.285094497538244,-2.12011639161312,0.0339962309437678,0.0875272556794915
"g851",627.069659196189,0.427732814499445,0.325499035182806,1.31408320230265,0.188818206287328,0.313829600036119
"g852",550.364510848433,0.453378221332465,0.324237588762886,1.39829013367114,0.162025959460386,0.286494177360032
"g853",596.564321061341,-0.543282586205476,0.32704593895165,-1.66118126385234,0.0966770473463102,0.195258019038609
"g854",1851.39145932044,0.738565665542806,0.304538724756831,2.42519458283191,0.0153001836052782,0.0483206207965427
"g855",103.413921196861,1.13713691272964,0.420655159825343,2.7032520252498,0.00686646613201626,0.0266291942850883
"g856",162.016841892275,0.493655456356208,0.475855209318473,1.03740685546603,0.29954628472656,0.44316674220213
"g857",141.138518511973,-1.46323126791563,0.541860843682297,-2.70038199839652,0.00692599014984461,0.0268037270788536
"g858",487.057275615951,0.0544172276398011,0.359897748766599,0.151201911727133,0.879816442294037,0.921705172697863
"g860",147.480697677241,-0.367698126624778,0.466427266736589,-0.788328969696432,0.430504306630748,0.571734496431914
"g861",22.7269159082335,0.723330992908212,0.713447010670308,1.01385384210751,0.310652499142177,0.453690279601629
"g862",170.774765003992,-0.31741097861084,0.469771194683128,-0.675671437932548,0.49924927403465,0.631675229518824
"g863",73.6724381274268,0.776132815175442,0.54436870150385,1.42574841836301,0.153940974925367,0.274803959860477
"g864",182.195684274828,-1.3996844327947,0.460778213567785,-3.03765323876102,0.00238428144280566,0.0115825882721559
"g865",2492.58649837058,-1.05568394707614,0.299655212229983,-3.52299544272874,0.000426698697350445,0.00286431198294153
"g866",464.704101235128,-0.814147589898082,0.4349234091683,-1.87193324786764,0.061215839109739,0.135986087841851
"g867",4118.76267838082,-1.79032824906159,0.441625804903356,-4.05394845406142,5.03603176343573e-05,0.000513619593110627
"g869",916.14782581288,0.53583631932418,0.405907611922936,1.32009428644544,0.186803540145311,0.312354470206744
"g870",1917.40832903432,-0.0340031407476752,0.273664644622304,-0.124251127852501,0.90111644167128,0.934754752134268
"g871",9.18658588080873,-3.03226060967471,1.18683678682721,-2.55490952364301,0.0106215402659569,0.0372056230188926
"g872",671.604895212012,-4.91910876405688,0.764733270258055,-6.43245031355436,1.25563083733432e-10,8.27819473471124e-09
"g873",1223.17480109148,-0.321112349552162,0.320930697156053,-1.0005660175163,0.317036666047461,0.458300458514968
"g874",3184.42167389249,0.901780419594838,0.358288531320731,2.51691120636956,0.0118388661001382,0.0404713830015836
"g875",209.605167917972,0.336218917475956,0.432555023945478,0.777285891651866,0.436990116889248,0.576202682698251
"g876",144382.022862989,0.967816956435927,0.415526938840494,2.32913167828918,0.0198520909515799,0.0591087181022746
"g877",5.96611428987847,1.12452073135484,1.54860896161499,0.726148924117112,0.4677474794367,0.603819473454649
"g879",568.771121414575,-0.611539323790427,0.376347634484022,-1.6249320249584,0.104177043516814,0.205241005690542
"g880",92.5121462045837,-1.09268727421986,0.536099836915042,-2.03821601682939,0.0415283343939063,0.101003037274244
"g881",1008.67719419681,-1.71138603107635,0.513462071409041,-3.33303300549536,0.000859047508863,0.00506645910977986
"g882",189.492139768335,-1.21336344740439,0.455240067122135,-2.66532657170279,0.00769135917279249,0.0290947726085552
"g883",674.611809869884,0.257122373122678,0.37840025427067,0.679498415291122,0.496822111385369,0.631058745705101
"g884",3601.75687526171,0.773269708746846,0.362364355163553,2.13395632801088,0.0328463558862523,0.0852804120478505
"g885",585.893466401425,0.532293544580189,0.455895298253377,1.16757849142009,0.242976830264751,0.380781135170393
"g886",25.1250549859527,-0.79779785541,0.973957683378339,-0.819129895502956,0.412712306938378,0.554085031715087
"g887",61.1721619867518,-0.371738722494641,0.706845213245427,-0.525912484839263,0.598949014022105,0.719830650966671
"g888",1383.33633251851,-0.440016058149688,0.436712112871476,-1.0075654995152,0.313663098558742,0.456282174893175
"g889",7.52831945960792,0.243114785348229,1.21817217524424,0.1995734185108,0.8418142184933,0.900341278875221
"g890",5390.2100462171,0.816011322004752,0.329471530489509,2.47672787021195,0.0132592955008791,0.0439437333835238
"g891",582.711129934552,0.477087537965504,0.369854012398024,1.28993473633613,0.197073318890767,0.323951332744751
"g892",758.504146204333,-0.659709207495414,0.393677267004232,-1.67576150006224,0.0937849180877511,0.190458700539041
"g893",13.0485669560253,-0.176146078779829,1.02790812442979,-0.171363640965034,0.863937842163007,0.913418818231908
"g894",605.375217075178,-1.58962420353853,0.400177874796973,-3.97229408133824,7.11837632276076e-05,0.000663662762212947
